<key1>ADI</key1><ls>Dha1tup._xxiv_,_68<wsid>24.68</wsid></ls><L>24187</L>
<key1>fYj</key1><ls>Dha1tup._vi_,_17.<wsid>6.17</wsid></ls><L>38847</L>
<key1>fR</key1><ls>Dha1tup._xxx_,_5<wsid>30.5</wsid></ls><L>38854</L>
<key1>fP</key1><ls>Dha1tup._xxviii_,_30.<wsid>28.30</wsid></ls><L>38955</L>
<key1>fz</key1><ls>Dha1tup._xxviii_,_7<wsid>28.7</wsid></ls><L>39039</L>
<key1>ej</key1><ls>Dha1tup._vi_,_20<wsid>6.20</wsid></ls><L>39975</L>
<key1>eW</key1><ls>Dha1tup._viii_,_14.<wsid>8.14</wsid></ls><L>39986</L>
<key1>ez</key1><ls>Dha1tup._xvi_,_17<wsid>16.17</wsid></ls><L>40241</L>
<key1>oK</key1><ls>Dha1tup._v_,_7.<wsid>5.7</wsid></ls><L>40606</L>
<key1>oj</key1><ls>Dha1tup._xxxv_,_84.<wsid>35.84</wsid></ls><L>40621</L>
<key1>oR</key1><ls>Dha1tup._xiii_,_11.<wsid>13.11</wsid></ls><L>40663</L>
<key1>olaRq</key1><ls>Dha1tup._xxxii_,_9<wsid>32.9</wsid></ls><L>40721</L>
<key1>kaMs</key1><ls>Dha1tup._xxiv_,_14.<wsid>24.14</wsid></ls><L>41369</L>
<key1>kak</key1><ls>Dha1tup._iv_,_16.<wsid>4.16</wsid></ls><L>41405</L>
<key1>kag</key1><ls>Dha1tup._xix_,_29.<wsid>19.29</wsid></ls><L>41600</L>
<key1>kac</key1><ls>Dha1tup._vi_,_8<wsid>6.8</wsid></ls><L>41710</L>
<key1>kaj</key1><ls>Dha1tup._vii_,_58<wsid>7.58</wsid></ls><L>41817</L>
<key1>kaYc</key1><ls>Dha1tup._vi_,_9<wsid>6.9</wsid></ls><L>41835</L>
<key1>kaw</key1><ls>Dha1tup._ix_,_33.<wsid>9.33</wsid></ls><L>41893</L>
<key1>kaw</key1><ls>Dha1tup._ix_,_6<wsid>9.6</wsid></ls><L>41894</L>
<key1>kaW</key1><ls>Dha1tup._ix_,_48.<wsid>9.48</wsid></ls><L>42177</L>
<key1>kaq</key1><ls>Dha1tup._xxxii_,_44<wsid>32.44</wsid></ls><L>42258</L>
<key1>kaqq</key1><ls>Dha1tup._ix_,_65.<wsid>9.65</wsid></ls><L>42287</L>
<key1>kaR</key1><ls>Dha1tup._xiii_,_6<wsid>13.6</wsid></ls><L>42288</L>
<key1>kaR</key1><ls>Dha1tup._xix_,_32<wsid>19.32</wsid></ls><L>42288</L>
<key1>kaR</key1><ls>Dha1tup._xxx_,_41<wsid>30.41</wsid></ls><L>42288</L>
<key1>kaRW</key1><ls>Dha1tup._viii_,_11<wsid>8.11</wsid></ls><L>42456</L>
<key1>katT</key1><ls>Dha1tup._ii_,_36<wsid>2.36</wsid></ls><L>42681</L>
<key1>katr</key1><ls>Dha1tup._xxxv_,_60<wsid>35.60</wsid></ls><L>42690</L>
<key1>kad</key1><ls>Dha1tup._xix_,_10.<wsid>19.10</wsid></ls><L>42779</L>
<key1>kan</key1><ls>Dha1tup._xiii_,_17<wsid>13.17</wsid></ls><L>42917</L>
<key1>kand</key1><ls>Dha1tup._iii_,_33<wsid>3.33</wsid></ls><L>43192</L>
<key1>kap</key1><ls>Dha1tup._xix_,_9.<wsid>19.9</wsid></ls><L>43323</L>
<key1>kab</key1><ls>Dha1tup._x_,_17<wsid>10.17</wsid></ls><L>43736</L>
<key1>kam</key1><ls>Dha1tup._xii_,_10<wsid>12.10</wsid></ls><L>43768</L>
<key1>kamp</key1><ls>Dha1tup._x_,_13<wsid>10.13</wsid></ls><L>43913</L>
<key1>karj</key1><ls>Dha1tup._vii_,_53.<wsid>7.53</wsid></ls><L>44777</L>
<key1>karR</key1><ls>Dha1tup._xxxv_,_71<wsid>35.71</wsid></ls><L>44778</L>
<key1>kard</key1><ls>Dha1tup._iii_,_22<wsid>3.22</wsid></ls><L>45146</L>
<key1>karb</key1><ls>Dha1tup._xi_,_26.<wsid>11.26</wsid></ls><L>45237</L>
<key1>karv</key1><ls>Dha1tup._xv_,_72<wsid>15.72</wsid></ls><L>45522</L>
<key1>kal</key1><ls>Dha1tup._xiv_,_26<wsid>14.26</wsid></ls><L>45579</L>
<key1>kall</key1><ls>Dha1tup._xiv_,_27<wsid>14.27</wsid></ls><L>46383</L>
<key1>kaS</key1><ls>Dha1tup._xvii_,_75<wsid>17.75</wsid></ls><L>46631</L>
<key1>kaz</key1><ls>Dha1tup._xvii_,_34<wsid>17.34</wsid></ls><L>46728</L>
<key1>kas</key1><ls>Dha1tup._xx_,_30<wsid>20.30</wsid></ls><L>46861</L>
<key1>kas</key1><ls>Dha1tup._xxiv_,_14.<wsid>24.14</wsid></ls><L>46864</L>
<key1>kAMs</key1><ls>Dha1tup._xvi_,_46<wsid>16.46</wsid></ls><L>46911</L>
<key1>kANkz</key1><ls>Dha1tup._xvii_,_16<wsid>17.16</wsid></ls><L>47271</L>
<key1>kAYc</key1><ls>Dha1tup._vi_,_10<wsid>6.10</wsid></ls><L>47345</L>
<key1>kAlaya</key1><ls>Dha1tup._xxxv_,_28<wsid>35.28</wsid></ls><L>49599</L>
<key1>kAS</key1><ls>Dha1tup._xxvi_,_53<wsid>26.53</wsid></ls><L>49812</L>
<key1>kil</key1><ls>Dha1tup._xxviii_,_61<wsid>28.61</wsid></ls><L>50585</L>
<key1>kil</key1><ls>Dha1tup._xxxii_,_64.<wsid>32.64</wsid></ls><L>50585</L>
<key1>kizk</key1><ls>Dha1tup._xxxiii_,_12.<wsid>33.12</wsid></ls><L>50650</L>
<key1>kIw</key1><ls>Dha1tup._xxxii_,_98<wsid>32.98</wsid></ls><L>50708</L>
<key1>kIl</key1><ls>Dha1tup._xv_,_17.<wsid>15.17</wsid></ls><L>50841</L>
<key1>kusmaya</key1><ls>Dha1tup._xxxiii_,_37<wsid>33.37</wsid></ls><L>51228</L>
<key1>kuk</key1><ls>Dha1tup._iv_,_17.<wsid>4.17</wsid></ls><L>51275</L>
<key1>kuc</key1><ls>Dha1tup._xxviii_,_75<wsid>28.75</wsid></ls><L>51417</L>
<key1>kucita</key1><ls>Dha1tup._vii_,_3<wsid>7.3</wsid></ls><L>51427</L>
<key1>kuj</key1><ls>Dha1tup._vii_,_19<wsid>7.19</wsid></ls><L>51442</L>
<key1>kuw</key1><ls>Dha1tup._xxviii_,_73<wsid>28.73</wsid></ls><L>51515</L>
<key1>kuw</key1><ls>Dha1tup._xxxiii_,_25<wsid>33.25</wsid></ls><L>51515</L>
<key1>kuwumbaya</key1><ls>Dha1tup._xxxiii_,_5.<wsid>33.5</wsid></ls><L>51661</L>
<key1>kuww</key1><ls>Dha1tup._xxxii_,_23<wsid>32.23</wsid></ls><L>51676</L>
<key1>kuq</key1><ls>Dha1tup._xxviii_,_89<wsid>28.89</wsid></ls><L>51746</L>
<key1>kuR</key1><ls>Dha1tup._xxviii_,_45<wsid>28.45</wsid></ls><L>51782</L>
<key1>kuRW</key1><ls>Dha1tup._ix_,_57<wsid>9.57</wsid></ls><L>51824</L>
<key1>kuRW</key1><ls>Dha1tup._xxxii_,_46<wsid>32.46</wsid></ls><L>51824</L>
<key1>kuRq</key1><ls>Dha1tup._ix_,_37<wsid>9.37</wsid></ls><L>51842</L>
<key1>kuT</key1><ls>Dha1tup._xxvi_,_11<wsid>26.11</wsid></ls><L>52041</L>
<key1>kud</key1><ls>Dha1tup._xxxii_,_6<wsid>32.6</wsid></ls><L>52050</L>
<key1>kunT</key1><ls>Dha1tup._iii_,_6<wsid>3.6</wsid></ls><L>52143</L>
<key1>kunT</key1><ls>Dha1tup._xxxi_,_42<wsid>31.42</wsid></ls><L>52143</L>
<key1>kundr</key1><ls>Dha1tup._xxxii_,_6<wsid>32.6</wsid></ls><L>52180</L>
<key1>kumAraya</key1><ls>Dha1tup._xxxv_,_25.<wsid>35.25</wsid></ls><L>52372</L>
<key1>kur</key1><ls>Dha1tup._xxviii_,_51.<wsid>28.51</wsid></ls><L>52645</L>
<key1>kul</key1><ls>Dha1tup._xx_,_12<wsid>20.12</wsid></ls><L>52809</L>
<key1>kuS</key1><ls>Dha1tup._xxvi_,_109<wsid>26.109</wsid></ls><L>53294</L>
<key1>kuh</key1><ls>Dha1tup._xxxv_,_47.<wsid>35.47</wsid></ls><L>53700</L>
<key1>kU</key1><ls>Dha1tup._xxii_,_54<wsid>22.54</wsid></ls><L>53778</L>
<key1>kUw</key1><ls>Dha1tup._xxxv_,_38<wsid>35.38</wsid></ls><L>53811</L>
<key1>kUw</key1><ls>Dha1tup._xxxiii_,_28<wsid>33.28</wsid></ls><L>53811</L>
<key1>kUq</key1><ls>Dha1tup._xxviii_,_88<wsid>28.88</wsid></ls><L>53916</L>
<key1>kUR</key1><ls>Dha1tup._xxxiii_,_15<wsid>33.15</wsid></ls><L>53919</L>
<key1>kUp</key1><ls>Dha1tup._xxxv_,_17.<wsid>35.17</wsid></ls><L>53936</L>
<key1>kUrd</key1><ls>Dha1tup._ii_,_20.<wsid>2.20</wsid></ls><L>54039</L>
<key1>kUl</key1><ls>Dha1tup._xv_,_18.<wsid>15.18</wsid></ls><L>54091</L>
<key1>kft</key1><ls>Dha1tup._xxix_,_10.<wsid>29.10</wsid></ls><L>54810</L>
<key1>kfp</key1><ls>Dha1tup._xxxv_,_17<wsid>35.17</wsid></ls><L>54858</L>
<key1>kfv</key1><ls>Dha1tup._xv_,_89<wsid>15.89</wsid></ls><L>55008</L>
<key1>kfS</key1><ls>Dha1tup._xxvi_,_117<wsid>26.117</wsid></ls><L>55010</L>
<key1>kF</key1><ls>Dha1tup._xxxiii_,_33<wsid>33.33</wsid></ls><L>55569</L>
<key1>kep</key1><ls>Dha1tup._x_,_7<wsid>10.7</wsid></ls><L>55760</L>
<key1>kel</key1><ls>Dha1tup._xv_,_30<wsid>15.30</wsid></ls><L>55793</L>
<key1>kev</key1><ls>Dha1tup._xiv_,_39<wsid>14.39</wsid></ls><L>55854</L>
<key1>kE</key1><ls>Dha1tup._xxii_,_19.<wsid>22.19</wsid></ls><L>56166</L>
<key1>knaMs</key1><ls>Dha1tup._xxxiii_,_90<wsid>33.90</wsid></ls><L>57601</L>
<key1>knaT</key1><ls>Dha1tup._xix_,_38<wsid>19.38</wsid></ls><L>57602</L>
<key1>knas</key1><ls>Dha1tup._xxvi_,_26<wsid>26.26</wsid></ls><L>57603</L>
<key1>knas</key1><ls>Dha1tup._xix_,_65<wsid>19.65</wsid></ls><L>57603</L>
<key1>knu</key1><ls>Dha1tup._xxxi_,_10.<wsid>31.10</wsid></ls><L>57605</L>
<key1>knUy</key1><ls>Dha1tup._xiv_,_14<wsid>14.14</wsid></ls><L>57606</L>
<key1>kmar</key1><ls>Dha1tup._xv_,_47<wsid>15.47</wsid></ls><L>57613</L>
<key1>kraT</key1><ls>Dha1tup._xix_,_39<wsid>19.39</wsid></ls><L>57713</L>
<key1>kraT</key1><ls>Dha1tup._xxxiv_,_19<wsid>34.19</wsid></ls><L>57713</L>
<key1>krap</key1><ls>Dha1tup._xix_,_9<wsid>19.9</wsid></ls><L>57748</L>
<key1>kruYc</key1><ls>Dha1tup._vii_,_4<wsid>7.4</wsid></ls><L>58218</L>
<key1>kruq</key1><ls>Dha1tup._xxviii_,_100<wsid>28.100</wsid></ls><L>58229</L>
<key1>klaT</key1><ls>Dha1tup._xix_,_40.<wsid>19.40</wsid></ls><L>58538</L>
<key1>kland</key1><ls>Dha1tup._iii_,_35<wsid>3.35</wsid></ls><L>58542</L>
<key1>kland</key1><ls>Dha1tup._xix_,_12<wsid>19.12</wsid></ls><L>58542</L>
<key1>klav</key1><ls>Dha1tup._xix_,_13<wsid>19.13</wsid></ls><L>58562</L>
<key1>klIb</key1><ls>Dha1tup._x_,_18<wsid>10.18</wsid></ls><L>58650</L>
<key1>klu</key1><ls>Dha1tup._xxii_,_60.<wsid>22.60</wsid></ls><L>58671</L>
<key1>kleS</key1><ls>Dha1tup._xvi_,_6<wsid>16.6</wsid></ls><L>58673</L>
<key1>kzaj</key1><ls>Dha1tup._xix_,_7<wsid>19.7</wsid></ls><L>58737</L>
<key1>kzaj</key1><ls>Dha1tup._xxxii_,_78.<wsid>32.78</wsid></ls><L>58737</L>
<key1>kzap</key1><ls>Dha1tup._xxxv_,_84<wsid>35.84</wsid></ls><L>58981</L>
<key1>kzamp</key1><ls>Dha1tup._xxxii_,_77<wsid>32.77</wsid></ls><L>59133</L>
<key1>kziR</key1><ls>Dha1tup._xxx_,_4.<wsid>30.4</wsid></ls><L>59488</L>
<key1>kziv</key1><ls>Dha1tup._xv_,_59<wsid>15.59</wsid></ls><L>59649</L>
<key1>kzI</key1><ls>Dha1tup._xxxi_,_35<wsid>31.35</wsid></ls><L>59650</L>
<key1>kzIj</key1><ls>Dha1tup._vii_,_63.<wsid>7.63</wsid></ls><L>59651</L>
<key1>kzIb</key1><ls>Dha1tup._xv_,_59<wsid>15.59</wsid></ls><L>59654</L>
<key1>kzur</key1><ls>Dha1tup._xxviii_,_54<wsid>28.54</wsid></ls><L>60157</L>
<key1>kzora</key1><ls>Dha1tup._xxviii_,_52<wsid>28.52</wsid></ls><L>60215</L>
<key1>kzE</key1><ls>Dha1tup._xxii_,_16<wsid>22.16</wsid></ls><L>60470</L>
<key1>kzow</key1><ls>Dha1tup._xxxv_,_23<wsid>35.23</wsid></ls><L>60516</L>
<key1>kzRu</key1><ls>Dha1tup._xxiv_,_28<wsid>24.28</wsid></ls><L>60596</L>
<key1>kzmAy</key1><ls>Dha1tup._xiv_,_45<wsid>14.45</wsid></ls><L>60625</L>
<key1>kzmIl</key1><ls>Dha1tup._xv_,_13<wsid>15.13</wsid></ls><L>60629</L>
<key1>kzviq</key1><ls>Dha1tup._xviii_,_4.<wsid>18.4</wsid></ls><L>60652</L>
<key1>kzvel</key1><ls>Dha1tup._xv_,_32<wsid>15.32</wsid></ls><L>60659</L>
<key1>KakK</key1><ls>Dha1tup._v_,_6.<wsid>5.6</wsid></ls><L>60850</L>
<key1>Kac</key1><ls>Dha1tup._xxxi_,_59<wsid>31.59</wsid></ls><L>60863</L>
<key1>Kaj</key1><ls>Dha1tup._vii_,_57.<wsid>7.57</wsid></ls><L>60867</L>
<key1>Kaww</key1><ls>Dha1tup._xxxii_,_88.<wsid>32.88</wsid></ls><L>60947</L>
<key1>Kaq</key1><ls>Dha1tup._xxxii_,_44<wsid>32.44</wsid></ls><L>60982</L>
<key1>KaRq</key1><ls>Dha1tup._viii_,_31<wsid>8.31</wsid></ls><L>61072</L>
<key1>Kad</key1><ls>Dha1tup._iii_,_13<wsid>3.13</wsid></ls><L>61228</L>
<key1>Kamb</key1><ls>Dha1tup._xi_,_35<wsid>11.35</wsid></ls><L>61339</L>
<key1>Karj</key1><ls>Dha1tup._vii_,_54<wsid>7.54</wsid></ls><L>61509</L>
<key1>Kard</key1><ls>Dha1tup._iii_,_23.<wsid>3.23</wsid></ls><L>61544</L>
<key1>Karb</key1><ls>Dha1tup._xi_,_27<wsid>11.27</wsid></ls><L>61559</L>
<key1>Karv</key1><ls>Dha1tup._xv_,_73.<wsid>15.73</wsid></ls><L>61565</L>
<key1>Kal</key1><ls>Dha1tup._xv_,_38<wsid>15.38</wsid></ls><L>61581</L>
<key1>Kav</key1><ls>Dha1tup._xxxi_,_59.<wsid>31.59</wsid></ls><L>61690</L>
<key1>Kaz</key1><ls>Dha1tup._xvii_,_35<wsid>17.35</wsid></ls><L>61698</L>
<key1>Kiw</key1><ls>Dha1tup._ix_,_15<wsid>9.15</wsid></ls><L>61901</L>
<key1>Ku</key1><ls>Dha1tup._xxii_,_58.<wsid>22.58</wsid></ls><L>61963</L>
<key1>KuRq</key1><ls>Dha1tup._viii_,_31<wsid>8.31</wsid></ls><L>61976</L>
<key1>KuRq</key1><ls>Dha1tup._xxxii_,_47.<wsid>32.47</wsid></ls><L>61976</L>
<key1>Kur</key1><ls>Dha1tup._xxviii_,_52<wsid>28.52</wsid></ls><L>61981</L>
<key1>Kurd</key1><ls>Dha1tup._ii_,_21.<wsid>2.21</wsid></ls><L>62011</L>
<key1>Kew</key1><ls>Dha1tup._xxxv_,_22<wsid>35.22</wsid></ls><L>62022</L>
<key1>Kev</key1><ls>Dha1tup._xiv_,_37.<wsid>14.37</wsid></ls><L>62075</L>
<key1>KE</key1><ls>Dha1tup._xxii_,_15<wsid>22.15</wsid></ls><L>62077</L>
<key1>Kow</key1><ls>Dha1tup._xv_,_44<wsid>15.44</wsid></ls><L>62084</L>
<key1>Koq</key1><ls>Dha1tup._xv_,_44<wsid>15.44</wsid></ls><L>62089</L>
<key1>Kor</key1><ls>Dha1tup._xv_,_44.<wsid>15.44</wsid></ls><L>62093</L>
<key1>Kol</key1><ls>Dha1tup._xv_,_44.<wsid>15.44</wsid></ls><L>62098</L>
<key1>KyA</key1><ls>Dha1tup._xxiv_,_52<wsid>24.52</wsid></ls><L>62110</L>
<key1>gagG</key1><ls>Dha1tup._v_,_53.<wsid>5.53</wsid></ls><L>62214</L>
<key1>gaj</key1><ls>Dha1tup._vii_,_72<wsid>7.72</wsid></ls><L>62305</L>
<key1>gaj</key1><ls>Dha1tup._vii_,_72<wsid>7.72</wsid></ls><L>62305</L>
<key1>gaYj</key1><ls>Dha1tup._vii_,_73.<wsid>7.73</wsid></ls><L>62459</L>
<key1>gaq</key1><ls>Dha1tup._xix_,_15<wsid>19.15</wsid></ls><L>62478</L>
<key1>gaRq</key1><ls>Dha1tup._ix_,_79<wsid>9.79</wsid></ls><L>62749</L>
<key1>gad</key1><ls>Dha1tup._xxxv_,_8<wsid>35.8</wsid></ls><L>62868</L>
<key1>ganD</key1><ls>Dha1tup._xxxiii_,_11<wsid>33.11</wsid></ls><L>62967</L>
<key1>ganDana</key1><ls>Dha1tup._xxiv_,_42<wsid>24.42</wsid></ls><L>63249</L>
<key1>garb</key1><ls>Dha1tup._xi_,_28.<wsid>11.28</wsid></ls><L>63962</L>
<key1>gal</key1><ls>Dha1tup._xxxiii_,_26<wsid>33.26</wsid></ls><L>64198</L>
<key1>gal</key1><ls>Dha1tup._xv_,_39.<wsid>15.39</wsid></ls><L>64241</L>
<key1>galB</key1><ls>Dha1tup._x_,_32<wsid>10.32</wsid></ls><L>64303</L>
<key1>gah</key1><ls>Dha1tup._xxxv_,_84<wsid>35.84</wsid></ls><L>64460</L>
<key1>gA</key1><ls>Dha1tup._xx_,_53<wsid>20.53</wsid></ls><L>64493</L>
<key1>gA</key1><ls>Dha1tup._xxv_,_25<wsid>25.25</wsid></ls><L>64493</L>
<key1>gAtraya</key1><ls>Dha1tup._xxxv_,_82<wsid>35.82</wsid></ls><L>64540</L>
<key1>gAD</key1><ls>Dha1tup._ii_,_3<wsid>2.3</wsid></ls><L>64759</L>
<key1>gAloqaya</key1><ls>Dha1tup._xxxv_,_86.<wsid>35.86</wsid></ls><L>65006</L>
<key1>gu</key1><ls>Dha1tup._xxii_,_52<wsid>22.52</wsid></ls><L>65341</L>
<key1>gu</key1><ls>Dha1tup._xxviii_,_106<wsid>28.106</wsid></ls><L>65342</L>
<key1>guq</key1><ls>Dha1tup._xxviii_,_77<wsid>28.77</wsid></ls><L>65422</L>
<key1>guRaya</key1><ls>Dha1tup._xxxv_,_41<wsid>35.41</wsid></ls><L>65787</L>
<key1>guRW</key1><ls>Dha1tup._xxxii_,_46<wsid>32.46</wsid></ls><L>65822</L>
<key1>guRq</key1><ls>Dha1tup._xxxii_,_46<wsid>32.46</wsid></ls><L>65827</L>
<key1>gud</key1><ls>Dha1tup._ii_,_23<wsid>2.23</wsid></ls><L>65859</L>
<key1>guD</key1><ls>Dha1tup._xxvi_,_13<wsid>26.13</wsid></ls><L>65883</L>
<key1>gup</key1><ls>Dha1tup._xxvi_,_123.<wsid>26.123</wsid></ls><L>65898</L>
<key1>guP</key1><ls>Dha1tup._xxviii_,_31.<wsid>28.31</wsid></ls><L>65959</L>
<key1>gur</key1><ls>Dha1tup._xxviii_,_103<wsid>28.103</wsid></ls><L>65978</L>
<key1>gurd</key1><ls>Dha1tup._ii_,_22<wsid>2.22</wsid></ls><L>66184</L>
<key1>gurv</key1><ls>Dha1tup._xv_,_65.<wsid>15.65</wsid></ls><L>66185</L>
<key1>gf</key1><ls>Dha1tup._xxii_,_39<wsid>22.39</wsid></ls><L>66412</L>
<key1>gfD</key1><ls>Dha1tup._xxxii_,_124<wsid>32.124</wsid></ls><L>66434</L>
<key1>gfhaya</key1><ls>Dha1tup._xxxv_,_45<wsid>35.45</wsid></ls><L>66706</L>
<key1>gF</key1><ls>Dha1tup._xxxiii_,_33<wsid>33.33</wsid></ls><L>66810</L>
<key1>gep</key1><ls>Dha1tup._x_,_8<wsid>10.8</wsid></ls><L>66817</L>
<key1>gev</key1><ls>Dha1tup._xiv_,_31.<wsid>14.31</wsid></ls><L>66820</L>
<key1>gez</key1><ls>Dha1tup._xvi_,_13.<wsid>16.13</wsid></ls><L>66821</L>
<key1>gE</key1><ls>Dha1tup._xxv_,_25<wsid>25.25</wsid></ls><L>66852</L>
<key1>gomaya</key1><ls>Dha1tup._xxxv_,_24.<wsid>35.24</wsid></ls><L>67380</L>
<key1>gozWa</key1><ls>Dha1tup._viii_,_4.<wsid>8.4</wsid></ls><L>67709</L>
<key1>gopaya</key1><ls>Dha1tup._xxxiii_,_98<wsid>33.98</wsid></ls><L>67940</L>
<key1>graT</key1><ls>Dha1tup._ii_,_35.<wsid>2.35</wsid></ls><L>68541</L>
<key1>gras</key1><ls>Dha1tup._xxxiii_,_76<wsid>33.76</wsid></ls><L>68546</L>
<key1>gruc</key1><ls>Dha1tup._vii_,_17<wsid>7.17</wsid></ls><L>69112</L>
<key1>glas</key1><ls>Dha1tup._xvi_,_30.<wsid>16.30</wsid></ls><L>69143</L>
<key1>glah</key1><ls>Dha1tup._xvi_,_49.<wsid>16.49</wsid></ls><L>69145</L>
<key1>gluYc</key1><ls>Dha1tup._vii_,_21<wsid>7.21</wsid></ls><L>69163</L>
<key1>GaMz</key1><ls>Dha1tup._xvi_,_50<wsid>16.50</wsid></ls><L>69215</L>
<key1>Gaw</key1><ls>Dha1tup._xxxiii_,_49<wsid>33.49</wsid></ls><L>69219</L>
<key1>GaRw</key1><ls>Dha1tup._xxxiii_,_94.<wsid>33.94</wsid></ls><L>69363</L>
<key1>Gamb</key1><ls>Dha1tup._xi_,_35<wsid>11.35</wsid></ls><L>69591</L>
<key1>Garb</key1><ls>Dha1tup._xi_,_32<wsid>11.32</wsid></ls><L>69628</L>
<key1>Gas</key1><ls>Dha1tup._xvii_,_65<wsid>17.65</wsid></ls><L>69692</L>
<key1>Gasana</key1><ls>Dha1tup._xxviii_,_88.<wsid>28.88</wsid></ls><L>69696</L>
<key1>GAnya</key1><ls>Dha1tup._xxviii_,_88<wsid>28.88</wsid></ls><L>69772</L>
<key1>GiRR</key1><ls>Dha1tup._xii_,_1<wsid>12.1</wsid></ls><L>69778</L>
<key1>Guw</key1><ls>Dha1tup._xxviii_,_91<wsid>28.91</wsid></ls><L>69785</L>
<key1>GuRR</key1><ls>Dha1tup._xii_,_2.<wsid>12.2</wsid></ls><L>69812</L>
<key1>GUr</key1><ls>Dha1tup._xxvii_,_46<wsid>27.46</wsid></ls><L>69924</L>
<key1>Gf</key1><ls>Dha1tup._xxii_,_40<wsid>22.40</wsid></ls><L>69935</L>
<key1>Gf</key1><ls>Dha1tup._xxxii_,_107.<wsid>32.107</wsid></ls><L>69935</L>
<key1>Gf</key1><ls>Dha1tup._xxv_,_14<wsid>25.14</wsid></ls><L>70066</L>
<key1>GfRR</key1><ls>Dha1tup._xii_,_3.<wsid>12.3</wsid></ls><L>70104</L>
<key1>Nu</key1><ls>Dha1tup._xxii_,_57<wsid>22.57</wsid></ls><L>70280</L>
<key1>cak</key1><ls>Dha1tup._iv_,_19<wsid>4.19</wsid></ls><L>70295</L>
<key1>cakk</key1><ls>Dha1tup._xxxii_,_56<wsid>32.56</wsid></ls><L>70322</L>
<key1>caG</key1><ls>Dha1tup._xxvii_,_26.<wsid>27.26</wsid></ls><L>70734</L>
<key1>caw</key1><ls>Dha1tup._ix_,_6<wsid>9.6</wsid></ls><L>70830</L>
<key1>caR</key1><ls>Dha1tup._xix_,_34<wsid>19.34</wsid></ls><L>70883</L>
<key1>caRq</key1><ls>Dha1tup._viii_,_26.<wsid>8.26</wsid></ls><L>70904</L>
<key1>cat</key1><ls>Dha1tup._xxi_,_5<wsid>21.5</wsid></ls><L>71064</L>
<key1>cad</key1><ls>Dha1tup._xxi_,_5.<wsid>21.5</wsid></ls><L>71509</L>
<key1>can</key1><ls>Dha1tup._xix_,_41.<wsid>19.41</wsid></ls><L>71514</L>
<key1>cand</key1><ls>Dha1tup._iii_,_31<wsid>3.31</wsid></ls><L>71529</L>
<key1>cap</key1><ls>Dha1tup._xi_,_5<wsid>11.5</wsid></ls><L>71998</L>
<key1>cam</key1><ls>Dha1tup._xxvii_,_27<wsid>27.27</wsid></ls><L>72049</L>
<key1>camp</key1><ls>Dha1tup._xxxii_,_76.<wsid>32.76</wsid></ls><L>72122</L>
<key1>cay</key1><ls>Dha1tup._xiv_,_5<wsid>14.5</wsid></ls><L>72171</L>
